# Time (sec),Drain (A),Drain (V)
0.000,0.000588344,2.0
0.520,0.000593807,2.0
1.020,0.000602705,2.0
1.640,0.0006119,2.0
2.140,0.000618045,2.0
2.600,0.000624174,2.0
3.160,0.000630915,2.0
3.600,0.000635329,2.0
4.110,0.000641599,2.0
4.560,0.000643668,2.0
5.020,0.00064834,2.0
5.530,0.000653049,2.0
6.010,0.000656958,2.0
6.560,0.000661414,2.0
7.090,0.000664747,2.0
7.650,0.000667984,2.0
8.190,0.000671803,2.0
8.619,0.000673068,2.0
9.039,0.000676365,2.0
9.499,0.000679146,2.0
9.959,0.000680637,2.0
10.369,0.000683218,2.0
10.799,0.000685558,2.0
11.249,0.000688065,2.0
11.729,0.000689996,2.0
12.219,0.000693181,2.0
12.699,0.000694681,2.0
13.239,0.000695862,2.0
13.719,0.000699269,2.0
14.219,0.000699663,2.0
14.709,0.000702875,2.0
15.219,0.000704913,2.0
15.769,0.00070539,2.0
16.259,0.000707076,2.0
16.759,0.000708234,2.0
17.279,0.000711055,2.0
17.799,0.000713742,2.0
18.349,0.000714339,2.0
18.809,0.000716184,2.0
19.289,0.000715481,2.0
19.779,0.000718651,2.0
20.279,0.000720062,2.0
20.739,0.000721123,2.0
21.329,0.000721787,2.0
21.839,0.000724205,2.0
22.319,0.000723507,2.0
22.769,0.000724157,2.0
23.249,0.000725065,2.0
23.789,0.000725431,2.0
24.249,0.000727416,2.0
24.718,0.000728191,2.0
25.228,0.000730904,2.0
25.838,0.000730265,2.0
26.438,0.000732753,2.0
26.968,0.000733107,2.0
27.568,0.00073386,2.0
28.168,0.000735179,2.0
28.748,0.000735425,2.0
29.328,0.000737594,2.0
29.858,0.000738753,2.0
30.418,0.000740324,2.0
31.028,0.000741044,2.0
31.558,0.000741651,2.0
32.058,0.000741802,2.0
32.598,0.000742781,2.0
33.128,0.000743928,2.0
33.688,0.000746491,2.0
34.228,0.000746895,2.0
34.788,0.000746552,2.0
35.338,0.000747775,2.0
35.908,0.000748477,2.0
36.458,0.000749487,2.0
36.948,0.000749595,2.0
37.458,0.000749891,2.0
37.958,0.000750092,2.0
38.468,0.000751077,2.0
38.968,0.000752566,2.0
39.478,0.000753003,2.0
39.938,0.000753409,2.0
40.428,0.000753987,2.0
40.888,0.000754427,2.0
41.387,0.000753982,2.0
41.877,0.000754436,2.0
42.357,0.000755695,2.0
42.907,0.000755558,2.0
43.387,0.000754868,2.0
43.877,0.000756345,2.0
44.407,0.000757444,2.0
44.947,0.000756928,2.0
45.437,0.000757976,2.0
45.937,0.000757784,2.0
46.497,0.000759497,2.0
46.967,0.000759025,2.0
47.457,0.000759754,2.0
47.967,0.000760339,2.0
48.477,0.000761074,2.0
49.177,0.000760765,2.0
49.687,0.000761802,2.0
50.207,0.000760745,2.0
50.697,0.000761343,2.0
51.217,0.000761883,2.0
51.697,0.000763479,2.0
52.197,0.000763572,2.0
52.707,0.000765895,2.0
53.207,0.000764328,2.0
53.717,0.000765086,2.0
54.257,0.000765388,2.0
54.757,0.00076599,2.0
55.267,0.000766139,2.0
55.827,0.000766184,2.0
56.347,0.000766953,2.0
56.887,0.000768241,2.0
57.397,0.000768725,2.0
57.947,0.000767734,2.0
58.527,0.000769298,2.0
59.067,0.000768354,2.0
59.637,0.000768893,2.0
60.147,0.00076884,2.0
60.677,0.00076948,2.0
61.217,0.000769547,2.0
61.807,0.000769569,2.0
62.367,0.00077062,2.0
62.917,0.000770591,2.0
63.457,0.000771196,2.0
64.007,0.000771518,2.0
64.557,0.000770175,2.0
65.107,0.000769717,2.0
65.667,0.000770446,2.0
66.207,0.000770453,2.0
66.746,0.000771466,2.0
67.296,0.000772569,2.0
67.856,0.000772285,2.0
68.406,0.000771317,2.0
68.946,0.000772172,2.0
69.516,0.000771751,2.0
70.036,0.000772902,2.0
70.576,0.000773431,2.0
71.146,0.000775077,2.0
71.746,0.000773385,2.0
72.286,0.000775294,2.0
72.846,0.000775177,2.0
73.356,0.000776399,2.0
73.846,0.000777659,2.0
74.346,0.000776773,2.0
74.836,0.000777626,2.0
75.336,0.000777079,2.0
75.816,0.000778488,2.0
76.296,0.000777884,2.0
76.816,0.000778019,2.0
77.336,0.000778099,2.0
77.836,0.000779111,2.0
78.366,0.00077862,2.0
78.886,0.000779481,2.0
79.386,0.000779569,2.0
79.886,0.000779741,2.0
80.396,0.000778685,2.0
80.926,0.000778681,2.0
81.436,0.000779375,2.0
81.976,0.00077886,2.0
82.495,0.000779871,2.0
82.995,0.000779175,2.0
83.515,0.000779736,2.0
84.035,0.000780177,2.0
84.555,0.000781351,2.0
85.075,0.000781478,2.0
85.585,0.000779939,2.0
86.095,0.000779325,2.0
86.615,0.000780305,2.0
87.115,0.000780503,2.0
87.625,0.000780078,2.0
88.135,0.000781217,2.0
88.645,0.000780355,2.0
