# Time (sec),Drain (A),Drain (V)
0.000,0.000284474,2.0
0.490,0.00030388,2.0
1.030,0.00031759,2.0
1.580,0.00032693,2.0
2.070,0.000333083,2.0
2.510,0.000337397,2.0
3.020,0.000341951,2.0
3.510,0.000345464,2.0
4.030,0.000348512,2.0
4.510,0.000351036,2.0
4.990,0.000353481,2.0
5.480,0.000355517,2.0
5.970,0.000357181,2.0
6.490,0.000358692,2.0
7.010,0.000360044,2.0
7.550,0.000361559,2.0
8.030,0.0003627,2.0
8.509,0.00036355,2.0
9.029,0.000364605,2.0
9.519,0.000365424,2.0
10.019,0.000366261,2.0
10.559,0.000366958,2.0
10.989,0.000367328,2.0
11.429,0.000367799,2.0
11.889,0.000368388,2.0
12.339,0.000368761,2.0
12.779,0.0003693,2.0
13.269,0.000369438,2.0
13.669,0.000369916,2.0
14.139,0.000370262,2.0
14.599,0.00037048,2.0
15.059,0.000370898,2.0
15.539,0.000371011,2.0
16.019,0.00037137,2.0
16.499,0.000371429,2.0
16.959,0.000371912,2.0
17.439,0.000372068,2.0
17.909,0.000372376,2.0
18.379,0.000372626,2.0
18.739,0.000372838,2.0
19.139,0.000372934,2.0
19.549,0.000373088,2.0
19.969,0.000373129,2.0
20.389,0.000373279,2.0
20.789,0.00037336,2.0
21.199,0.000373429,2.0
21.629,0.00037343,2.0
22.059,0.000373799,2.0
22.469,0.000374105,2.0
22.889,0.00037428,2.0
23.329,0.000374261,2.0
23.779,0.000374258,2.0
24.239,0.000374418,2.0
24.689,0.000374397,2.0
25.138,0.00037466,2.0
25.588,0.000374807,2.0
26.028,0.000374773,2.0
26.498,0.000374806,2.0
27.078,0.000374889,2.0
27.528,0.00037515,2.0
27.988,0.00037523,2.0
28.478,0.000375239,2.0
28.938,0.000375234,2.0
29.428,0.000375409,2.0
29.928,0.000375659,2.0
30.438,0.000375565,2.0
30.928,0.000375538,2.0
31.408,0.000375634,2.0
31.898,0.000375561,2.0
32.378,0.000375764,2.0
32.858,0.000375663,2.0
33.348,0.000375698,2.0
33.848,0.000375725,2.0
34.368,0.000375814,2.0
34.888,0.000375854,2.0
35.398,0.000375922,2.0
35.928,0.000375969,2.0
36.428,0.000375894,2.0
36.878,0.000376102,2.0
37.308,0.000376277,2.0
37.758,0.000376273,2.0
38.218,0.000375966,2.0
