# Time (sec),Drain (A),Drain (V)
0.000,0.000350208,2.0
0.490,0.00035076,2.0
0.980,0.000354136,2.0
1.540,0.000358475,2.0
2.020,0.000362263,2.0
2.480,0.000365945,2.0
3.020,0.00036994,2.0
3.590,0.000374591,2.0
4.080,0.000378292,2.0
4.520,0.000381798,2.0
5.000,0.000385307,2.0
5.510,0.000388448,2.0
6.060,0.000392374,2.0
6.500,0.000395346,2.0
6.920,0.000397811,2.0
7.420,0.000401133,2.0
7.880,0.000404162,2.0
8.330,0.000406597,2.0
8.769,0.00040889,2.0
9.249,0.000411351,2.0
9.689,0.000413183,2.0
10.169,0.000415721,2.0
10.649,0.000418282,2.0
11.169,0.000420643,2.0
11.689,0.000423059,2.0
12.249,0.000425625,2.0
12.779,0.00042789,2.0
13.319,0.000430306,2.0
13.859,0.000432392,2.0
14.299,0.000434078,2.0
14.729,0.000435665,2.0
15.159,0.000437194,2.0
15.669,0.000439107,2.0
16.149,0.000440612,2.0
16.609,0.000442144,2.0
17.069,0.000443798,2.0
17.569,0.000445338,2.0
18.039,0.000446691,2.0
18.519,0.000448006,2.0
18.929,0.000449035,2.0
19.319,0.000450318,2.0
19.749,0.00045143,2.0
20.179,0.000452811,2.0
20.619,0.000454038,2.0
21.049,0.000455079,2.0
21.579,0.000456307,2.0
22.049,0.000457599,2.0
22.509,0.000458739,2.0
22.969,0.000459779,2.0
23.409,0.000460869,2.0
23.909,0.000461878,2.0
24.369,0.000462782,2.0
24.838,0.000464044,2.0
25.288,0.000465027,2.0
25.758,0.000465785,2.0
26.218,0.00046659,2.0
26.668,0.000467727,2.0
27.128,0.000468298,2.0
27.588,0.000469183,2.0
28.018,0.000469927,2.0
28.468,0.000470713,2.0
28.928,0.000471625,2.0
29.418,0.000472367,2.0
29.898,0.000473329,2.0
30.358,0.000473946,2.0
30.888,0.000474612,2.0
31.378,0.000475337,2.0
31.848,0.00047641,2.0
32.328,0.000477117,2.0
32.828,0.000477827,2.0
33.328,0.000478699,2.0
33.828,0.000479481,2.0
34.338,0.000480177,2.0
34.848,0.000480851,2.0
35.348,0.000481437,2.0
35.868,0.000482069,2.0
36.358,0.000482928,2.0
36.868,0.000483598,2.0
37.338,0.000484105,2.0
37.798,0.000484611,2.0
38.268,0.000485203,2.0
38.738,0.000485741,2.0
39.218,0.000486276,2.0
39.708,0.000486994,2.0
40.238,0.00048746,2.0
40.708,0.000488005,2.0
41.168,0.000488868,2.0
41.647,0.000489271,2.0
42.127,0.000489879,2.0
42.587,0.000490364,2.0
43.037,0.00049064,2.0
43.487,0.000491167,2.0
43.967,0.000491471,2.0
44.437,0.000492055,2.0
44.907,0.000492666,2.0
45.387,0.000493051,2.0
45.867,0.000493498,2.0
46.407,0.000494046,2.0
46.897,0.000494236,2.0
47.387,0.00049463,2.0
47.867,0.00049513,2.0
48.357,0.000495625,2.0
48.867,0.000496134,2.0
49.387,0.000496389,2.0
49.907,0.000496676,2.0
50.407,0.000497293,2.0
50.927,0.000498005,2.0
51.457,0.000498371,2.0
51.977,0.00049855,2.0
52.477,0.000498996,2.0
52.997,0.000499325,2.0
53.497,0.000499737,2.0
53.997,0.000500288,2.0
54.487,0.000500674,2.0
55.007,0.000501085,2.0
55.517,0.000501392,2.0
56.047,0.000501817,2.0
56.577,0.000502323,2.0
57.097,0.000502576,2.0
57.597,0.000502932,2.0
58.126,0.000503533,2.0
58.646,0.000504048,2.0
59.196,0.000504199,2.0
59.726,0.000504478,2.0
60.256,0.000504824,2.0
60.786,0.000504934,2.0
61.296,0.000505124,2.0
61.876,0.000505644,2.0
62.416,0.000505937,2.0
62.946,0.000506359,2.0
63.486,0.000506654,2.0
63.966,0.000507053,2.0
64.466,0.000506879,2.0
64.996,0.000507128,2.0
65.526,0.000507555,2.0
66.026,0.000507579,2.0
66.576,0.000507739,2.0
67.106,0.000508301,2.0
67.656,0.000508683,2.0
68.206,0.000509105,2.0
68.746,0.0005093,2.0
69.276,0.000509558,2.0
69.806,0.000509888,2.0
70.356,0.000510232,2.0
70.896,0.000510684,2.0
71.426,0.00051077,2.0
71.966,0.000510936,2.0
72.516,0.000511339,2.0
73.046,0.000511459,2.0
73.536,0.000512003,2.0
74.036,0.000512284,2.0
74.525,0.000512265,2.0
75.035,0.000512344,2.0
75.535,0.000512762,2.0
76.035,0.000513055,2.0
76.545,0.000513061,2.0
77.095,0.000513595,2.0
77.605,0.000513726,2.0
78.115,0.000513933,2.0
78.605,0.000514128,2.0
79.085,0.000514049,2.0
79.585,0.000514325,2.0
80.055,0.000514334,2.0
80.545,0.000514721,2.0
81.005,0.00051491,2.0
81.475,0.000514908,2.0
81.955,0.000514915,2.0
82.415,0.0005153,2.0
82.865,0.000515482,2.0
83.305,0.000515534,2.0
83.755,0.000515504,2.0
84.255,0.000515881,2.0
84.775,0.000515955,2.0
85.305,0.000516114,2.0
85.835,0.000516452,2.0
86.335,0.000516467,2.0
86.845,0.000516964,2.0
87.415,0.000516707,2.0
87.895,0.00051703,2.0
88.395,0.000517198,2.0
88.885,0.000517327,2.0
89.365,0.000517179,2.0
89.865,0.000517536,2.0
90.355,0.000517626,2.0
90.874,0.000517726,2.0
91.374,0.00051815,2.0
91.854,0.000518155,2.0
92.364,0.000518396,2.0
92.854,0.000518713,2.0
93.364,0.000518829,2.0
93.864,0.000518872,2.0
94.354,0.000519093,2.0
94.854,0.000519093,2.0
95.324,0.000519127,2.0
95.834,0.000519594,2.0
96.334,0.00051963,2.0
96.854,0.000519736,2.0
97.354,0.000519953,2.0
97.884,0.000520265,2.0
98.384,0.000520076,2.0
98.914,0.000520257,2.0
99.444,0.000520438,2.0
99.954,0.000520759,2.0
100.464,0.000520827,2.0
100.954,0.000521016,2.0
101.454,0.000521286,2.0
101.944,0.000521301,2.0
102.444,0.000521183,2.0
102.964,0.000521567,2.0
103.484,0.000521829,2.0
103.994,0.000521955,2.0
104.514,0.000522102,2.0
105.034,0.000522459,2.0
105.554,0.000522573,2.0
106.074,0.000522715,2.0
106.594,0.000522726,2.0
107.113,0.000522735,2.0
107.673,0.000522904,2.0
108.193,0.000523007,2.0
108.713,0.000522944,2.0
109.213,0.000523165,2.0
109.733,0.000523353,2.0
110.233,0.000523503,2.0
110.713,0.000523247,2.0
111.213,0.000523565,2.0
111.733,0.00052366,2.0
112.203,0.000524055,2.0
112.693,0.000523708,2.0
113.203,0.000523652,2.0
113.723,0.000523922,2.0
114.213,0.000523574,2.0
114.733,0.000523908,2.0
115.263,0.000523984,2.0
115.773,0.000524008,2.0
116.293,0.000524296,2.0
116.783,0.000523907,2.0
117.273,0.000524089,2.0
117.793,0.000524123,2.0
118.323,0.000524226,2.0
118.843,0.000524578,2.0
119.333,0.00052426,2.0
119.863,0.000524604,2.0
120.403,0.00052472,2.0
120.963,0.000525107,2.0
121.503,0.000525072,2.0
122.023,0.000524944,2.0
122.543,0.000525026,2.0
123.113,0.000525219,2.0
123.632,0.00052551,2.0
124.152,0.000525569,2.0
124.682,0.000525461,2.0
125.222,0.000525728,2.0
125.762,0.000525633,2.0
126.282,0.000525821,2.0
126.792,0.000525807,2.0
127.332,0.000526063,2.0
127.872,0.000525963,2.0
128.392,0.000526193,2.0
128.932,0.000526286,2.0
129.462,0.000526407,2.0
129.982,0.000526273,2.0
130.522,0.000526396,2.0
131.012,0.000526676,2.0
131.502,0.000526831,2.0
132.032,0.000526966,2.0
132.522,0.000526822,2.0
133.032,0.000527002,2.0
133.552,0.000526974,2.0
134.132,0.000527019,2.0
134.672,0.000527352,2.0
135.202,0.000527403,2.0
135.742,0.00052749,2.0
136.292,0.000527621,2.0
136.822,0.000527827,2.0
137.382,0.000527761,2.0
137.942,0.000527552,2.0
138.522,0.000527583,2.0
139.062,0.000527762,2.0
139.602,0.000527732,2.0
140.141,0.000527952,2.0
140.651,0.000527908,2.0
141.171,0.00052828,2.0
141.701,0.000528219,2.0
142.231,0.000528162,2.0
142.811,0.000528284,2.0
143.321,0.00052847,2.0
143.871,0.000528343,2.0
144.421,0.000528545,2.0
144.951,0.000528617,2.0
145.511,0.000528998,2.0
146.051,0.000528889,2.0
146.571,0.000529001,2.0
147.121,0.000529166,2.0
147.651,0.000529357,2.0
148.161,0.000529283,2.0
148.701,0.000529362,2.0
149.221,0.000529264,2.0
149.761,0.000529402,2.0
150.271,0.000529461,2.0
150.791,0.000529417,2.0
151.321,0.000529672,2.0
151.851,0.000529938,2.0
152.351,0.000530044,2.0
152.871,0.000530016,2.0
153.391,0.000529994,2.0
