# Time (sec),Drain (A),Drain (V)
91.194,0.000548062,2.0
91.614,0.000548114,2.0
92.074,0.000547827,2.0
92.494,0.000548086,2.0
92.934,0.000548228,2.0
93.354,0.000548283,2.0
93.774,0.000548532,2.0
94.204,0.000548947,2.0
94.614,0.000549223,2.0
95.034,0.000549144,2.0
95.444,0.000549289,2.0
95.884,0.000549216,2.0
96.304,0.000549664,2.0
96.754,0.000549722,2.0
97.204,0.000549747,2.0
97.664,0.000549762,2.0
98.094,0.000549878,2.0
98.534,0.000550119,2.0
98.964,0.000550032,2.0
99.394,0.000549957,2.0
99.844,0.00055014,2.0
100.264,0.000550218,2.0
100.704,0.000550398,2.0
101.134,0.00055055,2.0
101.564,0.000550593,2.0
102.004,0.0005507,2.0
102.434,0.000550524,2.0
102.884,0.000550828,2.0
103.304,0.000551022,2.0
103.744,0.000551035,2.0
104.194,0.000551031,2.0
104.634,0.000551444,2.0
105.064,0.000551447,2.0
105.504,0.000551239,2.0
105.964,0.000551643,2.0
106.394,0.000551646,2.0
106.804,0.000551867,2.0
107.263,0.000551745,2.0
107.723,0.000551926,2.0
108.153,0.000551797,2.0
108.593,0.000552111,2.0
109.013,0.000552013,2.0
109.443,0.000551969,2.0
109.873,0.000552195,2.0
110.293,0.000552227,2.0
110.723,0.000552334,2.0
111.153,0.000552374,2.0
111.613,0.000552444,2.0
112.053,0.000552521,2.0
112.473,0.000552464,2.0
112.903,0.00055286,2.0
113.323,0.000552839,2.0
113.753,0.000552939,2.0
114.193,0.000552983,2.0
114.623,0.000553178,2.0
115.093,0.000553141,2.0
115.533,0.000553159,2.0
115.983,0.000553035,2.0
116.453,0.000553051,2.0
116.903,0.000553304,2.0
117.373,0.000553135,2.0
117.823,0.000553372,2.0
118.263,0.000553313,2.0
118.703,0.000553217,2.0
119.153,0.000553468,2.0
119.623,0.000553724,2.0
120.063,0.000553514,2.0
120.523,0.000553623,2.0
120.983,0.000553732,2.0
121.443,0.000553726,2.0
121.883,0.000554059,2.0
122.363,0.000553911,2.0
122.813,0.000553888,2.0
123.273,0.000554146,2.0
123.732,0.000554122,2.0
124.182,0.000554388,2.0
124.652,0.000554304,2.0
125.132,0.000554262,2.0
