# Time (sec),Drain (A),Drain (V)
0.000,0.000424043,2.0
0.420,0.000426328,2.0
0.850,0.00043108,2.0
1.390,0.000437446,2.0
1.990,0.000444231,2.0
2.560,0.000450464,2.0
3.030,0.00045548,2.0
3.550,0.000460992,2.0
4.120,0.00046639,2.0
4.510,0.000470302,2.0
4.940,0.000474328,2.0
5.410,0.000478688,2.0
5.890,0.000482825,2.0
6.400,0.000487009,2.0
6.920,0.000491507,2.0
7.440,0.000495729,2.0
7.910,0.00049925,2.0
8.429,0.000503091,2.0
8.939,0.000506871,2.0
9.369,0.000509905,2.0
9.789,0.00051276,2.0
10.239,0.000515645,2.0
10.719,0.000518745,2.0
11.169,0.000521563,2.0
11.649,0.000524384,2.0
12.139,0.00052734,2.0
12.629,0.000530318,2.0
13.109,0.00053313,2.0
13.579,0.000535775,2.0
14.109,0.000538614,2.0
14.629,0.000541291,2.0
15.119,0.000543977,2.0
15.679,0.000546607,2.0
16.229,0.000549343,2.0
16.759,0.000552082,2.0
17.289,0.000554456,2.0
17.849,0.00055699,2.0
18.429,0.000559847,2.0
18.919,0.00056196,2.0
19.419,0.000564022,2.0
19.919,0.000565978,2.0
20.429,0.000568241,2.0
20.929,0.000570046,2.0
21.429,0.00057211,2.0
21.939,0.000574114,2.0
22.459,0.000576142,2.0
22.979,0.000578259,2.0
23.509,0.000580207,2.0
24.029,0.000581971,2.0
24.589,0.000583906,2.0
25.138,0.000585873,2.0
25.678,0.000587697,2.0
26.158,0.000589139,2.0
26.678,0.000591061,2.0
27.168,0.000592699,2.0
27.688,0.000594199,2.0
28.228,0.00059593,2.0
28.768,0.000597683,2.0
29.288,0.000599141,2.0
29.818,0.000600593,2.0
30.338,0.000602256,2.0
30.908,0.000603651,2.0
31.448,0.000605506,2.0
32.008,0.00060686,2.0
32.548,0.00060832,2.0
33.088,0.000609759,2.0
33.628,0.000611277,2.0
34.198,0.000612531,2.0
34.728,0.0006138,2.0
35.268,0.000615231,2.0
35.818,0.00061635,2.0
36.398,0.000617766,2.0
36.928,0.000618972,2.0
37.448,0.000620546,2.0
37.948,0.00062155,2.0
38.448,0.000622548,2.0
38.978,0.000623814,2.0
39.518,0.000625031,2.0
40.058,0.000626109,2.0
40.608,0.000627313,2.0
41.138,0.000628388,2.0
41.667,0.000629637,2.0
42.077,0.000630565,2.0
42.507,0.000631622,2.0
42.917,0.000632262,2.0
43.347,0.000632976,2.0
43.797,0.000633895,2.0
44.217,0.000634859,2.0
44.627,0.000635523,2.0
45.027,0.00063657,2.0
45.437,0.000637063,2.0
45.907,0.000638176,2.0
46.307,0.000638917,2.0
46.707,0.000639714,2.0
47.137,0.000640544,2.0
47.567,0.00064119,2.0
48.027,0.000641931,2.0
48.477,0.000642782,2.0
48.937,0.000643647,2.0
49.387,0.00064433,2.0
49.847,0.000645272,2.0
50.287,0.000646057,2.0
50.737,0.00064696,2.0
51.197,0.000647813,2.0
51.647,0.000648456,2.0
52.107,0.000648922,2.0
52.567,0.000649892,2.0
53.027,0.000650724,2.0
53.487,0.000651351,2.0
53.957,0.000652301,2.0
54.417,0.000652786,2.0
54.897,0.000653539,2.0
55.327,0.000654215,2.0
55.777,0.000654917,2.0
56.237,0.00065539,2.0
56.687,0.000655996,2.0
57.147,0.000656737,2.0
57.617,0.000657506,2.0
58.086,0.000657998,2.0
58.586,0.000658976,2.0
59.056,0.000659457,2.0
59.526,0.000660192,2.0
59.996,0.000660816,2.0
60.466,0.000661592,2.0
60.926,0.000662352,2.0
61.426,0.000663025,2.0
61.896,0.000663742,2.0
62.346,0.000664226,2.0
62.816,0.000664912,2.0
63.296,0.000665396,2.0
63.756,0.000666003,2.0
64.236,0.000666672,2.0
64.716,0.000667202,2.0
65.176,0.000667779,2.0
65.646,0.000668482,2.0
66.106,0.000669168,2.0
66.566,0.000669626,2.0
67.026,0.000670227,2.0
67.526,0.000670787,2.0
68.016,0.000671377,2.0
68.496,0.000671881,2.0
68.986,0.00067265,2.0
69.456,0.000673323,2.0
69.916,0.000674009,2.0
70.406,0.000674365,2.0
70.866,0.000675068,2.0
71.356,0.000675629,2.0
71.846,0.000675985,2.0
72.326,0.000676366,2.0
72.816,0.000677283,2.0
73.216,0.000677664,2.0
73.656,0.000678041,2.0
74.096,0.000678446,2.0
74.535,0.000678954,2.0
74.945,0.000679272,2.0
75.355,0.000679777,2.0
75.795,0.000680052,2.0
76.215,0.000680571,2.0
76.705,0.000681127,2.0
77.145,0.000681639,2.0
77.565,0.000682089,2.0
78.015,0.000682609,2.0
78.475,0.000683062,2.0
78.895,0.000683393,2.0
79.315,0.000683504,2.0
79.735,0.000684023,2.0
80.165,0.000684611,2.0
80.625,0.000684888,2.0
81.055,0.000685356,2.0
81.515,0.000685714,2.0
81.975,0.000686263,2.0
82.395,0.000686758,2.0
82.835,0.000687171,2.0
83.315,0.000687577,2.0
83.795,0.00068799,2.0
84.265,0.000688461,2.0
84.735,0.00068894,2.0
85.205,0.000689061,2.0
85.665,0.000689365,2.0
86.135,0.000689793,2.0
86.595,0.000690471,2.0
87.055,0.000691018,2.0
87.525,0.000691252,2.0
87.965,0.000691525,2.0
88.425,0.000692067,2.0
88.855,0.000692289,2.0
89.315,0.000692519,2.0
89.765,0.000693109,2.0
90.215,0.000693616,2.0
90.684,0.000694135,2.0
91.154,0.000694476,2.0
91.614,0.000694684,2.0
92.114,0.000695411,2.0
92.564,0.000695573,2.0
93.014,0.000695969,2.0
93.474,0.000696164,2.0
93.914,0.000696512,2.0
94.344,0.000696928,2.0
94.814,0.000697315,2.0
95.274,0.000697751,2.0
95.754,0.000698235,2.0
96.214,0.000698577,2.0
96.714,0.000698826,2.0
97.174,0.000699418,2.0
97.674,0.000699728,2.0
98.144,0.000700008,2.0
98.624,0.000700576,2.0
99.114,0.000700886,2.0
99.594,0.000701169,2.0
100.094,0.000701314,2.0
100.574,0.000701538,2.0
101.034,0.000701979,2.0
101.504,0.000702362,2.0
101.994,0.000702593,2.0
102.474,0.000703166,2.0
102.934,0.000703423,2.0
103.394,0.000703729,2.0
103.864,0.000703918,2.0
104.354,0.000704321,2.0
104.814,0.000704688,2.0
105.284,0.000704695,2.0
105.744,0.000705069,2.0
106.234,0.000705868,2.0
106.724,0.000705856,2.0
107.253,0.000706185,2.0
107.743,0.000706536,2.0
108.233,0.000706965,2.0
108.723,0.000707307,2.0
109.223,0.000707494,2.0
109.703,0.000708145,2.0
110.203,0.000708317,2.0
110.673,0.000708653,2.0
111.143,0.000708952,2.0
111.623,0.000709527,2.0
112.113,0.000709782,2.0
112.603,0.0007102,2.0
113.083,0.000710552,2.0
113.553,0.00071099,2.0
114.023,0.000711138,2.0
114.473,0.000711216,2.0
114.983,0.000711581,2.0
115.473,0.000711858,2.0
115.953,0.000712171,2.0
116.433,0.000712395,2.0
116.933,0.000712681,2.0
117.413,0.000713208,2.0
117.903,0.000713289,2.0
118.383,0.00071348,2.0
118.893,0.000713859,2.0
119.383,0.000714282,2.0
119.873,0.000714471,2.0
120.393,0.000714817,2.0
120.883,0.000715181,2.0
121.363,0.000715423,2.0
121.893,0.000715824,2.0
122.433,0.000715992,2.0
122.913,0.000716338,2.0
123.423,0.000716462,2.0
123.922,0.000716795,2.0
124.402,0.000717049,2.0
124.892,0.000717548,2.0
125.402,0.000717658,2.0
125.892,0.000717871,2.0
126.402,0.000718188,2.0
126.922,0.000718353,2.0
127.412,0.000718704,2.0
127.912,0.00071883,2.0
128.422,0.000719023,2.0
128.932,0.000719526,2.0
129.432,0.000719695,2.0
129.922,0.000719746,2.0
130.412,0.000720117,2.0
130.902,0.000720365,2.0
131.412,0.000720816,2.0
131.902,0.000720983,2.0
132.382,0.000721476,2.0
132.862,0.000721705,2.0
133.362,0.000721909,2.0
133.872,0.000722218,2.0
134.392,0.000722536,2.0
134.902,0.000722769,2.0
135.392,0.000723047,2.0
135.892,0.0007233,2.0
136.402,0.000723574,2.0
136.882,0.000723679,2.0
137.402,0.00072394,2.0
137.962,0.000724366,2.0
138.442,0.000724682,2.0
138.932,0.000724442,2.0
139.412,0.000724882,2.0
139.931,0.000725188,2.0
140.431,0.000725384,2.0
140.941,0.000725468,2.0
141.441,0.000725608,2.0
141.971,0.000726168,2.0
142.471,0.000726072,2.0
142.951,0.000726765,2.0
143.451,0.000726989,2.0
143.961,0.000727106,2.0
144.471,0.000727111,2.0
144.981,0.000727558,2.0
145.451,0.000727848,2.0
145.961,0.000728034,2.0
146.451,0.0007283,2.0
146.951,0.000728174,2.0
147.481,0.000728404,2.0
147.931,0.000728841,2.0
148.391,0.000729008,2.0
148.901,0.000728924,2.0
149.391,0.000729059,2.0
149.891,0.000729536,2.0
