'aceton_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
661.0	0.0326
662.0	0.0325
663.0	0.0325
664.0	0.0323
665.0	0.0323
666.0	0.0322
667.0	0.0321
668.0	0.0320
669.0	0.0320
670.0	0.0322
671.0	0.0322
672.0	0.0320
673.0	0.0318
674.0	0.0318
675.0	0.0318
676.0	0.0319
677.0	0.0318
678.0	0.0317
679.0	0.0318
680.0	0.0320
681.0	0.0320
682.0	0.0320
683.0	0.0317
684.0	0.0317
685.0	0.0317
686.0	0.0318
687.0	0.0318
688.0	0.0318
689.0	0.0319
690.0	0.0318
691.0	0.0319
692.0	0.0317
693.0	0.0318
694.0	0.0317
695.0	0.0317
696.0	0.0317
697.0	0.0317
698.0	0.0316
699.0	0.0317
700.0	0.0316
701.0	0.0316
702.0	0.0316
703.0	0.0316
704.0	0.0315
705.0	0.0316
706.0	0.0317
707.0	0.0318
708.0	0.0319
709.0	0.0317
710.0	0.0316
711.0	0.0317
712.0	0.0317
713.0	0.0318
714.0	0.0318
715.0	0.0317
716.0	0.0318
717.0	0.0318
718.0	0.0320
719.0	0.0321
720.0	0.0322
721.0	0.0324
722.0	0.0325
723.0	0.0327
724.0	0.0329
725.0	0.0331
726.0	0.0334
727.0	0.0337
728.0	0.0337
729.0	0.0338
730.0	0.0336
731.0	0.0336
732.0	0.0334
733.0	0.0334
734.0	0.0334
735.0	0.0334
736.0	0.0333
737.0	0.0332
738.0	0.0332
739.0	0.0332
740.0	0.0333
741.0	0.0332
742.0	0.0333
743.0	0.0333
744.0	0.0333
745.0	0.0333
746.0	0.0330
747.0	0.0328
748.0	0.0325
749.0	0.0324
750.0	0.0321
751.0	0.0320
752.0	0.0318
753.0	0.0318
754.0	0.0317
755.0	0.0316
756.0	0.0316
757.0	0.0314
758.0	0.0314
759.0	0.0313
760.0	0.0314
761.0	0.0314
762.0	0.0314
763.0	0.0314
764.0	0.0315
765.0	0.0315
766.0	0.0314
767.0	0.0314
768.0	0.0313
