'1_3k_water.spc - RawData'
'Wavelength nm.'	'Abs.'
200.0	0.1493
201.0	0.1454
202.0	0.1394
203.0	0.1336
204.0	0.1283
205.0	0.1235
206.0	0.1200
207.0	0.1164
208.0	0.1138
209.0	0.1109
210.0	0.1087
211.0	0.1062
212.0	0.1042
213.0	0.1020
214.0	0.1001
215.0	0.0984
216.0	0.0969
217.0	0.0957
218.0	0.0942
219.0	0.0932
220.0	0.0920
221.0	0.0912
222.0	0.0903
223.0	0.0893
224.0	0.0882
225.0	0.0873
226.0	0.0861
227.0	0.0852
228.0	0.0839
229.0	0.0828
230.0	0.0814
231.0	0.0806
232.0	0.0794
233.0	0.0782
234.0	0.0766
235.0	0.0756
236.0	0.0745
237.0	0.0737
238.0	0.0729
239.0	0.0720
240.0	0.0714
241.0	0.0705
242.0	0.0700
243.0	0.0693
244.0	0.0690
245.0	0.0687
246.0	0.0683
247.0	0.0678
248.0	0.0673
249.0	0.0669
250.0	0.0665
251.0	0.0662
252.0	0.0658
253.0	0.0657
254.0	0.0654
255.0	0.0652
256.0	0.0648
257.0	0.0646
258.0	0.0645
259.0	0.0642
260.0	0.0637
261.0	0.0631
262.0	0.0627
263.0	0.0625
264.0	0.0625
265.0	0.0624
266.0	0.0623
267.0	0.0622
268.0	0.0620
269.0	0.0615
270.0	0.0613
271.0	0.0612
272.0	0.0612
273.0	0.0609
274.0	0.0606
275.0	0.0605
276.0	0.0603
277.0	0.0599
278.0	0.0597
279.0	0.0595
280.0	0.0594
281.0	0.0591
282.0	0.0590
283.0	0.0591
284.0	0.0588
285.0	0.0585
286.0	0.0584
287.0	0.0582
288.0	0.0581
289.0	0.0578
290.0	0.0570
291.0	0.0566
292.0	0.0557
293.0	0.0555
294.0	0.0553
295.0	0.0551
296.0	0.0551
297.0	0.0546
298.0	0.0544
299.0	0.0543
300.0	0.0540
301.0	0.0534
302.0	0.0531
303.0	0.0531
304.0	0.0531
305.0	0.0530
306.0	0.0526
307.0	0.0524
308.0	0.0524
309.0	0.0523
310.0	0.0525
311.0	0.0521
312.0	0.0520
313.0	0.0517
314.0	0.0517
315.0	0.0518
316.0	0.0517
317.0	0.0515
318.0	0.0509
319.0	0.0507
320.0	0.0505
321.0	0.0505
322.0	0.0504
323.0	0.0505
324.0	0.0505
325.0	0.0504
326.0	0.0499
327.0	0.0497
328.0	0.0496
329.0	0.0496
330.0	0.0495
331.0	0.0494
332.0	0.0495
333.0	0.0492
334.0	0.0489
335.0	0.0487
336.0	0.0485
337.0	0.0485
338.0	0.0482
339.0	0.0483
340.0	0.0484
341.0	0.0483
342.0	0.0482
343.0	0.0481
344.0	0.0481
345.0	0.0479
346.0	0.0476
347.0	0.0474
348.0	0.0473
349.0	0.0472
350.0	0.0473
351.0	0.0472
352.0	0.0472
353.0	0.0472
354.0	0.0470
355.0	0.0467
356.0	0.0468
357.0	0.0470
358.0	0.0472
359.0	0.0470
360.0	0.0467
361.0	0.0466
362.0	0.0465
363.0	0.0465
364.0	0.0464
365.0	0.0463
366.0	0.0463
367.0	0.0462
368.0	0.0462
369.0	0.0460
370.0	0.0460
371.0	0.0460
372.0	0.0459
373.0	0.0456
374.0	0.0454
375.0	0.0455
376.0	0.0456
377.0	0.0458
378.0	0.0457
379.0	0.0455
380.0	0.0454
381.0	0.0453
382.0	0.0453
383.0	0.0452
384.0	0.0452
385.0	0.0451
386.0	0.0451
387.0	0.0451
388.0	0.0450
389.0	0.0447
390.0	0.0446
391.0	0.0446
392.0	0.0446
393.0	0.0445
394.0	0.0445
395.0	0.0444
396.0	0.0445
397.0	0.0445
398.0	0.0445
399.0	0.0443
400.0	0.0444
401.0	0.0443
402.0	0.0442
403.0	0.0441
404.0	0.0440
405.0	0.0441
406.0	0.0439
407.0	0.0440
408.0	0.0439
409.0	0.0440
410.0	0.0439
411.0	0.0440
412.0	0.0437
413.0	0.0437
414.0	0.0435
415.0	0.0435
416.0	0.0434
417.0	0.0434
418.0	0.0434
419.0	0.0434
420.0	0.0434
421.0	0.0432
422.0	0.0432
423.0	0.0430
424.0	0.0430
425.0	0.0430
426.0	0.0430
427.0	0.0429
428.0	0.0429
429.0	0.0429
430.0	0.0428
431.0	0.0428
432.0	0.0427
433.0	0.0427
434.0	0.0426
435.0	0.0426
436.0	0.0426
437.0	0.0426
438.0	0.0426
439.0	0.0425
440.0	0.0425
441.0	0.0425
442.0	0.0425
443.0	0.0423
444.0	0.0423
445.0	0.0423
446.0	0.0422
447.0	0.0422
448.0	0.0422
449.0	0.0422
450.0	0.0421
451.0	0.0421
452.0	0.0421
453.0	0.0421
454.0	0.0421
455.0	0.0419
456.0	0.0418
457.0	0.0418
458.0	0.0417
459.0	0.0418
460.0	0.0418
461.0	0.0418
462.0	0.0417
463.0	0.0416
464.0	0.0416
465.0	0.0417
466.0	0.0417
467.0	0.0416
