'toluene_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
661.0	0.0409
662.0	0.0409
663.0	0.0409
664.0	0.0408
665.0	0.0407
666.0	0.0407
667.0	0.0407
668.0	0.0407
669.0	0.0408
670.0	0.0409
671.0	0.0409
672.0	0.0408
673.0	0.0406
674.0	0.0405
675.0	0.0404
676.0	0.0404
677.0	0.0404
678.0	0.0404
679.0	0.0406
680.0	0.0409
681.0	0.0410
682.0	0.0410
683.0	0.0407
684.0	0.0407
685.0	0.0406
686.0	0.0406
687.0	0.0406
688.0	0.0407
689.0	0.0408
690.0	0.0409
691.0	0.0410
692.0	0.0409
693.0	0.0408
694.0	0.0408
695.0	0.0408
696.0	0.0408
697.0	0.0409
698.0	0.0410
699.0	0.0413
700.0	0.0413
701.0	0.0414
702.0	0.0414
703.0	0.0415
704.0	0.0415
705.0	0.0417
706.0	0.0421
707.0	0.0425
708.0	0.0428
709.0	0.0429
710.0	0.0431
711.0	0.0434
712.0	0.0436
713.0	0.0440
714.0	0.0441
715.0	0.0442
716.0	0.0441
717.0	0.0438
718.0	0.0436
719.0	0.0434
720.0	0.0432
721.0	0.0428
722.0	0.0424
723.0	0.0421
724.0	0.0420
725.0	0.0419
726.0	0.0418
727.0	0.0417
728.0	0.0416
729.0	0.0417
730.0	0.0417
731.0	0.0417
732.0	0.0417
733.0	0.0419
734.0	0.0421
735.0	0.0423
736.0	0.0423
737.0	0.0423
738.0	0.0424
739.0	0.0425
740.0	0.0426
741.0	0.0426
742.0	0.0427
743.0	0.0426
744.0	0.0427
745.0	0.0429
746.0	0.0429
747.0	0.0429
748.0	0.0428
749.0	0.0429
750.0	0.0428
751.0	0.0426
752.0	0.0425
753.0	0.0426
754.0	0.0427
755.0	0.0425
756.0	0.0424
757.0	0.0422
758.0	0.0422
759.0	0.0421
760.0	0.0420
761.0	0.0420
762.0	0.0419
763.0	0.0418
764.0	0.0419
765.0	0.0420
766.0	0.0420
767.0	0.0421
768.0	0.0421
769.0	0.0422
770.0	0.0422
771.0	0.0423
772.0	0.0424
773.0	0.0425
774.0	0.0425
775.0	0.0426
776.0	0.0426
777.0	0.0426
778.0	0.0426
779.0	0.0428
780.0	0.0430
781.0	0.0430
782.0	0.0430
783.0	0.0428
784.0	0.0428
785.0	0.0428
786.0	0.0429
787.0	0.0430
788.0	0.0430
789.0	0.0429
790.0	0.0428
791.0	0.0427
792.0	0.0428
793.0	0.0429
794.0	0.0433
795.0	0.0433
796.0	0.0434
797.0	0.0432
798.0	0.0433
799.0	0.0434
800.0	0.0427
801.0	0.0419
802.0	0.0412
803.0	0.0412
804.0	0.0412
805.0	0.0412
806.0	0.0412
807.0	0.0413
808.0	0.0414
809.0	0.0413
810.0	0.0413
811.0	0.0413
812.0	0.0413
813.0	0.0413
814.0	0.0412
815.0	0.0412
816.0	0.0411
817.0	0.0412
818.0	0.0412
819.0	0.0412
820.0	0.0411
821.0	0.0411
822.0	0.0412
823.0	0.0412
824.0	0.0411
825.0	0.0410
826.0	0.0410
827.0	0.0409
828.0	0.0408
829.0	0.0409
830.0	0.0377
831.0	0.0347
832.0	0.0315
833.0	0.0315
834.0	0.0316
835.0	0.0316
836.0	0.0316
837.0	0.0316
838.0	0.0316
839.0	0.0317
840.0	0.0317
841.0	0.0316
842.0	0.0316
843.0	0.0316
844.0	0.0317
845.0	0.0319
846.0	0.0320
847.0	0.0321
848.0	0.0323
849.0	0.0324
850.0	0.0327
851.0	0.0328
852.0	0.0330
853.0	0.0332
854.0	0.0336
855.0	0.0339
856.0	0.0343
857.0	0.0349
858.0	0.0355
859.0	0.0362
860.0	0.0369
861.0	0.0378
862.0	0.0390
863.0	0.0405
864.0	0.0421
865.0	0.0439
866.0	0.0461
867.0	0.0485
868.0	0.0511
869.0	0.0539
870.0	0.0568
871.0	0.0595
872.0	0.0622
873.0	0.0645
874.0	0.0664
875.0	0.0675
876.0	0.0676
877.0	0.0669
878.0	0.0654
879.0	0.0633
880.0	0.0608
881.0	0.0579
882.0	0.0548
883.0	0.0516
884.0	0.0487
885.0	0.0461
886.0	0.0438
887.0	0.0418
888.0	0.0402
889.0	0.0390
890.0	0.0382
891.0	0.0377
892.0	0.0373
893.0	0.0371
894.0	0.0371
895.0	0.0373
896.0	0.0376
897.0	0.0381
898.0	0.0385
899.0	0.0390
900.0	0.0396
901.0	0.0404
902.0	0.0414
903.0	0.0423
904.0	0.0432
905.0	0.0440
906.0	0.0447
907.0	0.0454
908.0	0.0459
909.0	0.0463
910.0	0.0465
911.0	0.0465
912.0	0.0466
913.0	0.0466
914.0	0.0466
915.0	0.0463
916.0	0.0458
917.0	0.0451
918.0	0.0443
919.0	0.0434
920.0	0.0423
921.0	0.0411
922.0	0.0397
923.0	0.0383
924.0	0.0368
925.0	0.0357
926.0	0.0347
927.0	0.0341
928.0	0.0335
929.0	0.0330
930.0	0.0327
931.0	0.0324
932.0	0.0323
933.0	0.0321
934.0	0.0320
935.0	0.0318
936.0	0.0317
937.0	0.0315
938.0	0.0313
939.0	0.0310
940.0	0.0308
941.0	0.0306
942.0	0.0304
943.0	0.0303
944.0	0.0302
945.0	0.0301
946.0	0.0300
947.0	0.0299
948.0	0.0298
949.0	0.0298
950.0	0.0298
951.0	0.0297
952.0	0.0297
953.0	0.0298
954.0	0.0298
955.0	0.0298
956.0	0.0298
957.0	0.0298
958.0	0.0299
959.0	0.0299
960.0	0.0299
961.0	0.0300
962.0	0.0300
963.0	0.0301
964.0	0.0302
965.0	0.0302
