'2_3k_water_10_cd.spc - RawData'
'Wavelength nm.'	'Abs.'
200.0	0.6893
201.0	0.6692
202.0	0.6393
203.0	0.6093
204.0	0.5791
205.0	0.5497
206.0	0.5221
207.0	0.4955
208.0	0.4707
209.0	0.4473
210.0	0.4262
211.0	0.4062
212.0	0.3881
213.0	0.3711
214.0	0.3553
215.0	0.3405
216.0	0.3266
217.0	0.3140
218.0	0.3025
219.0	0.2921
220.0	0.2830
221.0	0.2745
222.0	0.2670
223.0	0.2598
224.0	0.2535
225.0	0.2480
226.0	0.2428
227.0	0.2383
228.0	0.2338
229.0	0.2299
230.0	0.2266
231.0	0.2240
232.0	0.2213
233.0	0.2186
234.0	0.2157
235.0	0.2136
236.0	0.2114
237.0	0.2095
238.0	0.2075
239.0	0.2054
240.0	0.2033
241.0	0.2012
242.0	0.1990
243.0	0.1966
244.0	0.1941
245.0	0.1918
246.0	0.1891
247.0	0.1863
248.0	0.1833
249.0	0.1804
250.0	0.1773
251.0	0.1742
252.0	0.1705
253.0	0.1668
254.0	0.1624
255.0	0.1580
256.0	0.1537
257.0	0.1495
258.0	0.1455
259.0	0.1412
260.0	0.1373
261.0	0.1333
262.0	0.1299
263.0	0.1267
264.0	0.1238
265.0	0.1211
266.0	0.1184
267.0	0.1161
268.0	0.1139
269.0	0.1119
270.0	0.1103
271.0	0.1087
272.0	0.1074
273.0	0.1059
274.0	0.1047
275.0	0.1036
276.0	0.1027
277.0	0.1016
278.0	0.1007
279.0	0.0997
280.0	0.0989
281.0	0.0981
282.0	0.0974
283.0	0.0969
284.0	0.0963
285.0	0.0958
286.0	0.0955
287.0	0.0951
288.0	0.0949
289.0	0.0945
290.0	0.0944
291.0	0.0941
292.0	0.0939
293.0	0.0935
294.0	0.0934
295.0	0.0933
296.0	0.0937
297.0	0.0938
298.0	0.0938
299.0	0.0936
300.0	0.0933
301.0	0.0932
302.0	0.0931
303.0	0.0933
304.0	0.0936
305.0	0.0941
306.0	0.0943
307.0	0.0945
308.0	0.0948
309.0	0.0954
310.0	0.0961
311.0	0.0964
312.0	0.0968
313.0	0.0973
314.0	0.0982
315.0	0.0990
316.0	0.0997
317.0	0.1003
318.0	0.1007
319.0	0.1013
320.0	0.1020
321.0	0.1028
322.0	0.1036
323.0	0.1044
324.0	0.1054
325.0	0.1061
326.0	0.1066
327.0	0.1072
328.0	0.1080
329.0	0.1089
330.0	0.1095
331.0	0.1102
332.0	0.1107
333.0	0.1111
334.0	0.1116
335.0	0.1121
336.0	0.1127
337.0	0.1130
338.0	0.1133
339.0	0.1136
340.0	0.1139
341.0	0.1142
342.0	0.1143
343.0	0.1144
344.0	0.1144
345.0	0.1143
346.0	0.1143
347.0	0.1141
348.0	0.1139
349.0	0.1135
350.0	0.1134
351.0	0.1130
352.0	0.1128
353.0	0.1123
354.0	0.1119
355.0	0.1112
356.0	0.1107
357.0	0.1102
358.0	0.1097
359.0	0.1091
360.0	0.1083
361.0	0.1077
362.0	0.1069
363.0	0.1064
364.0	0.1058
365.0	0.1053
366.0	0.1047
367.0	0.1040
368.0	0.1032
369.0	0.1022
370.0	0.1014
371.0	0.1008
372.0	0.1001
373.0	0.0993
374.0	0.0982
375.0	0.0975
376.0	0.0968
377.0	0.0962
378.0	0.0954
379.0	0.0945
380.0	0.0936
381.0	0.0928
382.0	0.0921
383.0	0.0912
384.0	0.0904
385.0	0.0894
386.0	0.0887
387.0	0.0879
388.0	0.0869
389.0	0.0858
390.0	0.0847
391.0	0.0839
392.0	0.0829
393.0	0.0819
394.0	0.0807
395.0	0.0797
396.0	0.0788
397.0	0.0779
398.0	0.0769
399.0	0.0758
400.0	0.0748
401.0	0.0738
402.0	0.0729
403.0	0.0719
404.0	0.0710
405.0	0.0700
406.0	0.0692
407.0	0.0683
408.0	0.0674
409.0	0.0666
410.0	0.0656
411.0	0.0650
412.0	0.0640
413.0	0.0633
414.0	0.0624
415.0	0.0618
416.0	0.0611
417.0	0.0605
418.0	0.0599
419.0	0.0595
420.0	0.0591
421.0	0.0586
422.0	0.0581
423.0	0.0574
424.0	0.0570
425.0	0.0566
426.0	0.0563
427.0	0.0558
428.0	0.0555
429.0	0.0552
430.0	0.0549
431.0	0.0546
432.0	0.0544
433.0	0.0541
434.0	0.0538
435.0	0.0536
436.0	0.0533
437.0	0.0530
438.0	0.0527
439.0	0.0524
440.0	0.0522
441.0	0.0520
442.0	0.0518
443.0	0.0515
444.0	0.0513
445.0	0.0511
446.0	0.0510
447.0	0.0508
448.0	0.0506
449.0	0.0503
450.0	0.0500
451.0	0.0498
452.0	0.0497
453.0	0.0496
454.0	0.0495
455.0	0.0491
456.0	0.0488
457.0	0.0486
458.0	0.0485
459.0	0.0483
460.0	0.0481
461.0	0.0480
462.0	0.0478
463.0	0.0476
464.0	0.0475
465.0	0.0474
466.0	0.0471
467.0	0.0468
468.0	0.0466
469.0	0.0464
470.0	0.0463
471.0	0.0461
472.0	0.0461
473.0	0.0459
474.0	0.0459
475.0	0.0457
476.0	0.0456
477.0	0.0453
478.0	0.0451
479.0	0.0448
480.0	0.0447
481.0	0.0446
482.0	0.0445
483.0	0.0444
484.0	0.0442
485.0	0.0441
486.0	0.0440
487.0	0.0440
488.0	0.0438
489.0	0.0437
490.0	0.0436
491.0	0.0436
492.0	0.0435
493.0	0.0433
494.0	0.0432
495.0	0.0432
496.0	0.0432
497.0	0.0430
498.0	0.0429
499.0	0.0428
500.0	0.0427
501.0	0.0425
502.0	0.0423
503.0	0.0423
504.0	0.0423
505.0	0.0424
506.0	0.0422
507.0	0.0421
508.0	0.0420
509.0	0.0418
510.0	0.0417
511.0	0.0416
512.0	0.0416
513.0	0.0415
514.0	0.0414
515.0	0.0413
516.0	0.0411
517.0	0.0410
518.0	0.0411
519.0	0.0411
520.0	0.0410
521.0	0.0409
522.0	0.0407
