'2_3k_water.spc - RawData'
'Wavelength nm.'	'Abs.'
551.0	0.0371
552.0	0.0371
553.0	0.0373
554.0	0.0372
555.0	0.0372
556.0	0.0372
557.0	0.0371
558.0	0.0370
559.0	0.0370
560.0	0.0372
561.0	0.0372
562.0	0.0372
563.0	0.0371
564.0	0.0372
565.0	0.0373
566.0	0.0372
567.0	0.0373
568.0	0.0372
569.0	0.0372
570.0	0.0371
571.0	0.0373
572.0	0.0372
573.0	0.0373
574.0	0.0372
575.0	0.0373
576.0	0.0373
577.0	0.0373
578.0	0.0373
579.0	0.0372
580.0	0.0373
581.0	0.0372
582.0	0.0372
583.0	0.0372
584.0	0.0373
585.0	0.0373
586.0	0.0373
587.0	0.0373
588.0	0.0373
589.0	0.0373
590.0	0.0373
591.0	0.0374
592.0	0.0374
593.0	0.0375
594.0	0.0376
595.0	0.0376
596.0	0.0375
597.0	0.0375
598.0	0.0376
599.0	0.0377
600.0	0.0377
601.0	0.0379
602.0	0.0380
603.0	0.0380
604.0	0.0380
605.0	0.0380
606.0	0.0380
607.0	0.0380
608.0	0.0379
609.0	0.0380
610.0	0.0379
611.0	0.0379
612.0	0.0380
613.0	0.0380
614.0	0.0381
615.0	0.0380
616.0	0.0381
617.0	0.0380
618.0	0.0381
619.0	0.0379
620.0	0.0379
621.0	0.0379
622.0	0.0380
623.0	0.0381
624.0	0.0381
625.0	0.0381
626.0	0.0380
627.0	0.0381
628.0	0.0381
629.0	0.0381
630.0	0.0380
631.0	0.0380
632.0	0.0380
633.0	0.0379
634.0	0.0380
635.0	0.0380
636.0	0.0380
637.0	0.0380
638.0	0.0381
639.0	0.0381
640.0	0.0381
641.0	0.0380
642.0	0.0381
643.0	0.0380
644.0	0.0380
645.0	0.0380
646.0	0.0381
647.0	0.0382
648.0	0.0383
649.0	0.0382
650.0	0.0381
651.0	0.0382
652.0	0.0382
653.0	0.0382
654.0	0.0382
655.0	0.0382
656.0	0.0382
657.0	0.0383
658.0	0.0384
659.0	0.0385
660.0	0.0386
661.0	0.0386
662.0	0.0386
663.0	0.0387
664.0	0.0387
665.0	0.0388
666.0	0.0388
667.0	0.0387
668.0	0.0387
669.0	0.0387
670.0	0.0387
671.0	0.0386
672.0	0.0385
673.0	0.0385
674.0	0.0386
675.0	0.0386
676.0	0.0386
677.0	0.0386
678.0	0.0386
679.0	0.0385
680.0	0.0385
681.0	0.0385
682.0	0.0385
683.0	0.0385
684.0	0.0387
685.0	0.0387
686.0	0.0386
687.0	0.0386
688.0	0.0387
689.0	0.0388
690.0	0.0387
691.0	0.0387
692.0	0.0388
693.0	0.0388
694.0	0.0388
695.0	0.0389
696.0	0.0390
697.0	0.0391
698.0	0.0391
699.0	0.0391
700.0	0.0391
701.0	0.0391
702.0	0.0393
703.0	0.0394
704.0	0.0395
705.0	0.0395
706.0	0.0396
707.0	0.0397
708.0	0.0399
709.0	0.0399
710.0	0.0399
711.0	0.0399
712.0	0.0401
713.0	0.0404
714.0	0.0405
715.0	0.0407
716.0	0.0408
717.0	0.0410
718.0	0.0412
719.0	0.0414
720.0	0.0417
721.0	0.0419
722.0	0.0422
723.0	0.0424
724.0	0.0427
725.0	0.0430
726.0	0.0432
727.0	0.0435
728.0	0.0438
729.0	0.0443
730.0	0.0447
731.0	0.0452
732.0	0.0457
733.0	0.0462
734.0	0.0466
735.0	0.0470
736.0	0.0474
737.0	0.0478
738.0	0.0480
739.0	0.0481
740.0	0.0482
741.0	0.0483
742.0	0.0483
743.0	0.0485
744.0	0.0484
745.0	0.0484
746.0	0.0484
747.0	0.0484
748.0	0.0485
749.0	0.0484
750.0	0.0485
751.0	0.0484
752.0	0.0485
753.0	0.0485
754.0	0.0486
755.0	0.0486
756.0	0.0485
757.0	0.0484
758.0	0.0485
759.0	0.0484
760.0	0.0485
761.0	0.0485
762.0	0.0486
763.0	0.0485
764.0	0.0483
765.0	0.0482
766.0	0.0482
767.0	0.0483
768.0	0.0483
769.0	0.0483
770.0	0.0482
771.0	0.0481
772.0	0.0481
773.0	0.0480
774.0	0.0481
775.0	0.0481
776.0	0.0480
777.0	0.0479
778.0	0.0478
779.0	0.0478
780.0	0.0478
781.0	0.0477
782.0	0.0476
783.0	0.0474
784.0	0.0474
785.0	0.0473
786.0	0.0472
787.0	0.0469
788.0	0.0468
789.0	0.0466
790.0	0.0466
791.0	0.0466
792.0	0.0467
793.0	0.0465
794.0	0.0463
795.0	0.0462
796.0	0.0461
797.0	0.0461
798.0	0.0461
799.0	0.0460
800.0	0.0459
