'etoh_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
661.0	0.0326
662.0	0.0324
663.0	0.0322
664.0	0.0320
665.0	0.0318
666.0	0.0316
667.0	0.0317
668.0	0.0317
669.0	0.0318
670.0	0.0318
671.0	0.0317
672.0	0.0315
673.0	0.0315
674.0	0.0315
675.0	0.0316
676.0	0.0316
677.0	0.0316
678.0	0.0316
679.0	0.0317
680.0	0.0320
681.0	0.0321
682.0	0.0320
683.0	0.0318
684.0	0.0318
685.0	0.0317
686.0	0.0317
687.0	0.0317
688.0	0.0319
689.0	0.0320
690.0	0.0319
691.0	0.0320
692.0	0.0319
693.0	0.0319
694.0	0.0318
695.0	0.0319
696.0	0.0318
697.0	0.0318
698.0	0.0318
699.0	0.0319
700.0	0.0319
701.0	0.0319
702.0	0.0318
703.0	0.0318
704.0	0.0319
705.0	0.0320
706.0	0.0322
707.0	0.0322
708.0	0.0323
709.0	0.0321
710.0	0.0322
711.0	0.0322
712.0	0.0323
713.0	0.0324
714.0	0.0323
715.0	0.0323
716.0	0.0323
717.0	0.0324
718.0	0.0326
719.0	0.0327
720.0	0.0328
721.0	0.0328
722.0	0.0328
723.0	0.0329
724.0	0.0330
725.0	0.0332
726.0	0.0334
727.0	0.0336
728.0	0.0336
729.0	0.0339
730.0	0.0341
731.0	0.0343
732.0	0.0345
733.0	0.0349
734.0	0.0354
735.0	0.0358
736.0	0.0361
737.0	0.0363
738.0	0.0366
739.0	0.0370
740.0	0.0374
741.0	0.0376
742.0	0.0376
743.0	0.0374
744.0	0.0374
745.0	0.0373
746.0	0.0371
747.0	0.0370
748.0	0.0367
749.0	0.0367
750.0	0.0364
751.0	0.0364
752.0	0.0362
753.0	0.0363
754.0	0.0364
755.0	0.0364
756.0	0.0365
757.0	0.0364
758.0	0.0365
759.0	0.0365
760.0	0.0366
761.0	0.0366
762.0	0.0367
763.0	0.0367
764.0	0.0368
765.0	0.0369
766.0	0.0368
767.0	0.0368
768.0	0.0367
769.0	0.0366
770.0	0.0365
771.0	0.0365
772.0	0.0364
773.0	0.0363
774.0	0.0362
775.0	0.0362
776.0	0.0362
777.0	0.0362
778.0	0.0362
779.0	0.0363
780.0	0.0365
781.0	0.0366
782.0	0.0367
783.0	0.0369
784.0	0.0371
785.0	0.0372
786.0	0.0372
787.0	0.0374
788.0	0.0375
789.0	0.0376
790.0	0.0373
791.0	0.0372
792.0	0.0371
793.0	0.0374
794.0	0.0375
795.0	0.0378
796.0	0.0378
797.0	0.0376
798.0	0.0377
799.0	0.0377
800.0	0.0380
