'1_3k_water_28_cd.spc - RawData'
'Wavelength nm.'	'Abs.'
200.0	1.1995
201.0	1.1263
202.0	1.0307
203.0	0.9417
204.0	0.8602
205.0	0.7858
206.0	0.7197
207.0	0.6596
208.0	0.6066
209.0	0.5593
210.0	0.5175
211.0	0.4792
212.0	0.4446
213.0	0.4132
214.0	0.3846
215.0	0.3582
216.0	0.3341
217.0	0.3123
218.0	0.2926
219.0	0.2756
220.0	0.2602
221.0	0.2472
222.0	0.2348
223.0	0.2239
224.0	0.2137
225.0	0.2053
226.0	0.1976
227.0	0.1913
228.0	0.1854
229.0	0.1805
230.0	0.1761
231.0	0.1723
232.0	0.1690
233.0	0.1657
234.0	0.1627
235.0	0.1601
236.0	0.1578
237.0	0.1555
238.0	0.1533
239.0	0.1513
240.0	0.1494
241.0	0.1475
242.0	0.1453
243.0	0.1430
244.0	0.1406
245.0	0.1384
246.0	0.1358
247.0	0.1329
248.0	0.1299
249.0	0.1267
250.0	0.1235
251.0	0.1203
252.0	0.1169
253.0	0.1134
254.0	0.1098
255.0	0.1065
256.0	0.1035
257.0	0.1005
258.0	0.0978
259.0	0.0953
260.0	0.0932
261.0	0.0912
262.0	0.0897
263.0	0.0883
264.0	0.0875
265.0	0.0866
266.0	0.0858
267.0	0.0852
268.0	0.0848
269.0	0.0843
270.0	0.0840
271.0	0.0837
272.0	0.0837
273.0	0.0835
274.0	0.0837
275.0	0.0838
276.0	0.0840
277.0	0.0840
278.0	0.0842
279.0	0.0845
280.0	0.0849
281.0	0.0851
282.0	0.0853
283.0	0.0857
284.0	0.0859
285.0	0.0862
286.0	0.0868
287.0	0.0872
288.0	0.0875
289.0	0.0878
290.0	0.0877
291.0	0.0878
292.0	0.0878
293.0	0.0883
294.0	0.0886
295.0	0.0890
296.0	0.0895
297.0	0.0899
298.0	0.0902
299.0	0.0906
300.0	0.0907
301.0	0.0909
302.0	0.0912
303.0	0.0917
304.0	0.0921
305.0	0.0926
306.0	0.0930
307.0	0.0934
308.0	0.0940
309.0	0.0945
310.0	0.0951
311.0	0.0951
312.0	0.0955
313.0	0.0957
314.0	0.0964
315.0	0.0968
316.0	0.0971
317.0	0.0972
318.0	0.0970
319.0	0.0969
320.0	0.0968
321.0	0.0967
322.0	0.0968
323.0	0.0968
324.0	0.0967
325.0	0.0964
326.0	0.0958
327.0	0.0955
328.0	0.0952
329.0	0.0950
330.0	0.0945
331.0	0.0939
332.0	0.0934
333.0	0.0928
334.0	0.0924
335.0	0.0918
336.0	0.0912
337.0	0.0904
338.0	0.0897
339.0	0.0891
340.0	0.0884
341.0	0.0878
342.0	0.0872
343.0	0.0868
344.0	0.0863
345.0	0.0856
346.0	0.0851
347.0	0.0844
348.0	0.0839
349.0	0.0834
350.0	0.0831
351.0	0.0825
352.0	0.0822
353.0	0.0818
354.0	0.0816
355.0	0.0810
356.0	0.0806
357.0	0.0802
358.0	0.0799
359.0	0.0793
360.0	0.0787
361.0	0.0781
362.0	0.0774
363.0	0.0769
364.0	0.0763
365.0	0.0756
366.0	0.0750
367.0	0.0742
368.0	0.0734
369.0	0.0725
370.0	0.0718
371.0	0.0710
372.0	0.0702
373.0	0.0693
374.0	0.0684
375.0	0.0676
376.0	0.0669
377.0	0.0663
