'h2o_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
661.0	0.0329
662.0	0.0328
663.0	0.0327
664.0	0.0325
665.0	0.0323
666.0	0.0321
667.0	0.0321
668.0	0.0322
669.0	0.0322
670.0	0.0322
671.0	0.0321
672.0	0.0320
673.0	0.0320
674.0	0.0320
675.0	0.0322
676.0	0.0320
677.0	0.0321
678.0	0.0321
679.0	0.0323
680.0	0.0326
681.0	0.0327
682.0	0.0327
683.0	0.0324
684.0	0.0325
685.0	0.0324
686.0	0.0325
687.0	0.0325
688.0	0.0326
689.0	0.0326
690.0	0.0327
691.0	0.0327
692.0	0.0327
693.0	0.0326
694.0	0.0327
695.0	0.0327
696.0	0.0328
697.0	0.0329
698.0	0.0329
699.0	0.0331
700.0	0.0330
701.0	0.0331
702.0	0.0332
703.0	0.0332
704.0	0.0332
705.0	0.0333
706.0	0.0336
707.0	0.0338
708.0	0.0338
709.0	0.0337
710.0	0.0337
711.0	0.0339
712.0	0.0341
713.0	0.0343
714.0	0.0345
715.0	0.0347
716.0	0.0348
717.0	0.0349
718.0	0.0353
719.0	0.0356
720.0	0.0358
721.0	0.0359
722.0	0.0360
723.0	0.0363
724.0	0.0367
725.0	0.0371
726.0	0.0374
727.0	0.0378
728.0	0.0381
729.0	0.0385
730.0	0.0390
731.0	0.0394
732.0	0.0399
733.0	0.0406
734.0	0.0412
735.0	0.0416
736.0	0.0418
737.0	0.0419
738.0	0.0421
739.0	0.0423
740.0	0.0425
741.0	0.0425
742.0	0.0427
743.0	0.0428
744.0	0.0429
745.0	0.0431
746.0	0.0430
747.0	0.0431
748.0	0.0431
749.0	0.0431
750.0	0.0431
751.0	0.0430
752.0	0.0431
753.0	0.0432
754.0	0.0433
755.0	0.0433
756.0	0.0432
757.0	0.0432
758.0	0.0433
759.0	0.0433
760.0	0.0433
761.0	0.0432
762.0	0.0432
763.0	0.0431
764.0	0.0433
765.0	0.0432
766.0	0.0431
767.0	0.0431
768.0	0.0430
769.0	0.0429
770.0	0.0427
771.0	0.0425
772.0	0.0424
773.0	0.0424
774.0	0.0422
775.0	0.0422
776.0	0.0422
777.0	0.0423
778.0	0.0423
779.0	0.0425
780.0	0.0427
781.0	0.0429
782.0	0.0429
783.0	0.0430
784.0	0.0430
785.0	0.0431
786.0	0.0432
787.0	0.0433
788.0	0.0433
789.0	0.0432
790.0	0.0428
791.0	0.0425
792.0	0.0423
793.0	0.0423
794.0	0.0424
795.0	0.0423
796.0	0.0421
797.0	0.0418
798.0	0.0417
799.0	0.0416
800.0	0.0435
801.0	0.0452
802.0	0.0474
803.0	0.0474
804.0	0.0474
805.0	0.0472
806.0	0.0471
807.0	0.0472
808.0	0.0472
809.0	0.0471
810.0	0.0471
811.0	0.0470
812.0	0.0470
813.0	0.0471
814.0	0.0472
815.0	0.0473
816.0	0.0473
817.0	0.0474
818.0	0.0474
819.0	0.0475
820.0	0.0476
821.0	0.0478
822.0	0.0480
823.0	0.0481
824.0	0.0482
825.0	0.0485
826.0	0.0488
827.0	0.0492
828.0	0.0496
