IRF_5Mhz1.ptu	 	p62-20_5MHz_1_OTCSPC; OverallDecay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
0	1	0	1	0	---	0	---
0.249999992929518	12	0.249999992929518	4	0.249999992929518	---	0.249999992929518	---
0.499999985859036	7	0.499999985859036	1	0.499999985859036	---	0.499999985859036	---
0.749999978788553	13	0.749999978788553	9	0.749999978788553	---	0.749999978788553	---
0.999999971718071	16	0.999999971718071	3	0.999999971718071	---	0.999999971718071	---
1.24999996464759	14	1.24999996464759	2	1.24999996464759	---	1.24999996464759	---
1.49999995757711	13	1.49999995757711	1	1.49999995757711	---	1.49999995757711	---
1.74999995050662	15	1.74999995050662	4	1.74999995050662	---	1.74999995050662	---
1.99999994343614	10	1.99999994343614	4	1.99999994343614	---	1.99999994343614	---
2.24999993636566	15	2.24999993636566	1	2.24999993636566	---	2.24999993636566	---
2.49999992929518	9	2.49999992929518	9	2.49999992929518	---	2.49999992929518	---
2.7499999222247	16	2.7499999222247	1	2.7499999222247	---	2.7499999222247	---
2.99999991515421	6	2.99999991515421	4	2.99999991515421	---	2.99999991515421	---
3.24999990808373	11	3.24999990808373	5	3.24999990808373	---	3.24999990808373	---
3.49999990101325	10	3.49999990101325	5	3.49999990101325	---	3.49999990101325	---
3.74999989394277	14	3.74999989394277	2	3.74999989394277	---	3.74999989394277	---
3.99999988687229	11	3.99999988687229	9	3.99999988687229	---	3.99999988687229	---
4.2499998798018	12	4.2499998798018	2	4.2499998798018	---	4.2499998798018	---
4.49999987273132	10	4.49999987273132	4	4.49999987273132	---	4.49999987273132	---
4.74999986566084	12	4.74999986566084	5	4.74999986566084	---	4.74999986566084	---
4.99999985859036	7	4.99999985859036	3	4.99999985859036	---	4.99999985859036	---
5.24999985151988	9	5.24999985151988	1	5.24999985151988	---	5.24999985151988	---
5.49999984444939	10	5.49999984444939	7	5.49999984444939	---	5.49999984444939	---
5.74999983737891	9	5.74999983737891	2	5.74999983737891	---	5.74999983737891	---
5.99999983030843	10	5.99999983030843	1	5.99999983030843	---	5.99999983030843	---
6.24999982323795	15	6.24999982323795	9	6.24999982323795	---	6.24999982323795	---
6.49999981616746	5	6.49999981616746	7	6.49999981616746	---	6.49999981616746	---
6.74999980909698	14	6.74999980909698	2	6.74999980909698	---	6.74999980909698	---
6.9999998020265	7	6.9999998020265	6	6.9999998020265	---	6.9999998020265	---
7.24999979495602	15	7.24999979495602	5	7.24999979495602	---	7.24999979495602	---
7.49999978788553	9	7.49999978788553	6	7.49999978788553	---	7.49999978788553	---
7.74999978081505	11	7.74999978081505	5	7.74999978081505	---	7.74999978081505	---
7.99999977374457	11	7.99999977374457	2	7.99999977374457	---	7.99999977374457	---
8.24999976667409	10	8.24999976667409	6	8.24999976667409	---	8.24999976667409	---
8.49999975960361	15	8.49999975960361	3	8.49999975960361	---	8.49999975960361	---
8.74999975253313	13	8.74999975253313	4	8.74999975253313	---	8.74999975253313	---
8.99999974546264	13	8.99999974546264	4	8.99999974546264	---	8.99999974546264	---
9.24999973839216	8	9.24999973839216	5	9.24999973839216	---	9.24999973839216	---
