IRF_5Mhz1.ptu	 	p62-80_5MHz_1_OTCSPC; OverallDecay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
0	1	0.249999992929518	2	0.249999992929518	---	0.249999992929518	---
0.249999992929518	12	0.499999985859036	5	0.499999985859036	---	0.499999985859036	---
0.499999985859036	7	0.749999978788553	2	0.749999978788553	---	0.749999978788553	---
0.749999978788553	13	0.999999971718071	2	0.999999971718071	---	0.999999971718071	---
0.999999971718071	16	1.24999996464759	1	1.24999996464759	---	1.24999996464759	---
1.24999996464759	14	1.49999995757711	3	1.49999995757711	---	1.49999995757711	---
1.49999995757711	13	1.74999995050662	1	1.74999995050662	---	1.74999995050662	---
1.74999995050662	15	1.99999994343614	7	1.99999994343614	---	1.99999994343614	---
1.99999994343614	10	2.24999993636566	2	2.24999993636566	---	2.24999993636566	---
2.24999993636566	15	2.49999992929518	3	2.49999992929518	---	2.49999992929518	---
2.49999992929518	9	2.7499999222247	2	2.7499999222247	---	2.7499999222247	---
2.7499999222247	16	2.99999991515421	3	2.99999991515421	---	2.99999991515421	---
2.99999991515421	6	3.24999990808373	3	3.24999990808373	---	3.24999990808373	---
3.24999990808373	11	3.49999990101325	6	3.49999990101325	---	3.49999990101325	---
3.49999990101325	10	3.74999989394277	4	3.74999989394277	---	3.74999989394277	---
3.74999989394277	14	3.99999988687229	3	3.99999988687229	---	3.99999988687229	---
3.99999988687229	11	4.2499998798018	5	4.2499998798018	---	4.2499998798018	---
4.2499998798018	12	4.49999987273132	2	4.49999987273132	---	4.49999987273132	---
4.49999987273132	10	4.74999986566084	4	4.74999986566084	---	4.74999986566084	---
4.74999986566084	12	4.99999985859036	4	4.99999985859036	---	4.99999985859036	---
4.99999985859036	7	5.24999985151988	2	5.24999985151988	---	5.24999985151988	---
5.24999985151988	9	5.49999984444939	2	5.49999984444939	---	5.49999984444939	---
5.49999984444939	10	5.74999983737891	0	5.74999983737891	---	5.74999983737891	---
5.74999983737891	9	5.99999983030843	2	5.99999983030843	---	5.99999983030843	---
5.99999983030843	10	6.24999982323795	1	6.24999982323795	---	6.24999982323795	---
6.24999982323795	15	6.49999981616746	4	6.49999981616746	---	6.49999981616746	---
6.49999981616746	5	6.74999980909698	5	6.74999980909698	---	6.74999980909698	---
6.74999980909698	14	6.9999998020265	4	6.9999998020265	---	6.9999998020265	---
6.9999998020265	7	7.24999979495602	4	7.24999979495602	---	7.24999979495602	---
7.24999979495602	15	7.49999978788553	2	7.49999978788553	---	7.49999978788553	---
7.49999978788553	9	7.74999978081505	6	7.74999978081505	---	7.74999978081505	---
7.74999978081505	11	7.99999977374457	2	7.99999977374457	---	7.99999977374457	---
7.99999977374457	11	8.24999976667409	1	8.24999976667409	---	8.24999976667409	---
8.24999976667409	10	8.49999975960361	4	8.49999975960361	---	8.49999975960361	---
8.49999975960361	15	8.74999975253313	1	8.74999975253313	---	8.74999975253313	---
8.74999975253313	13	8.99999974546264	3	8.99999974546264	---	8.99999974546264	---
8.99999974546264	13	9.24999973839216	5	9.24999973839216	---	9.24999973839216	---
9.24999973839216	8	9.49999973132168	3	9.49999973132168	---	9.49999973132168	---
9.49999973132168	9	9.7499997242512	1	9.7499997242512	---	9.7499997242512	---
9.7499997242512	13	9.99999971718071	2	9.99999971718071	---	9.99999971718071	---
9.99999971718071	11	10.2499997101102	5	10.2499997101102	---	10.2499997101102	---
10.2499997101102	9	10.4999997030398	3	10.4999997030398	---	10.4999997030398	---
10.4999997030398	14	10.7499996959693	3	10.7499996959693	---	10.7499996959693	---
10.7499996959693	10	10.9999996888988	2	10.9999996888988	---	10.9999996888988	---
10.9999996888988	9	11.2499996818283	1	11.2499996818283	---	11.2499996818283	---
11.2499996818283	9	11.4999996747578	2	11.4999996747578	---	11.4999996747578	---
11.4999996747578	14	11.7499996676873	2	11.7499996676873	---	11.7499996676873	---
11.7499996676873	17	11.9999996606169	2	11.9999996606169	---	11.9999996606169	---
11.9999996606169	7	12.2499996535464	3	12.2499996535464	---	12.2499996535464	---
12.2499996535464	11	12.4999996464759	4	12.4999996464759	---	12.4999996464759	---
12.4999996464759	11	12.7499996394054	4	12.7499996394054	---	12.7499996394054	---
12.7499996394054	17	12.9999996323349	4	12.9999996323349	---	12.9999996323349	---
12.9999996323349	10	13.2499996252644	1	13.2499996252644	---	13.2499996252644	---
13.2499996252644	16	13.499999618194	1	13.499999618194	---	13.499999618194	---
13.499999618194	9	13.7499996111235	2	13.7499996111235	---	13.7499996111235	---
13.7499996111235	6	13.999999604053	2	13.999999604053	---	13.999999604053	---
13.999999604053	16	14.2499995969825	3	14.2499995969825	---	14.2499995969825	---
14.2499995969825	7	14.499999589912	3	14.499999589912	---	14.499999589912	---
14.499999589912	13	14.7499995828416	5	14.7499995828416	---	14.7499995828416	---
14.7499995828416	10	14.9999995757711	1	14.9999995757711	---	14.9999995757711	---
14.9999995757711	11	15.2499995687006	4	15.2499995687006	---	15.2499995687006	---
15.2499995687006	11	15.4999995616301	2	15.4999995616301	---	15.4999995616301	---
15.4999995616301	15	15.7499995545596	1	15.7499995545596	---	15.7499995545596	---
