Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu2_V(1)(1),Smu2_I(1)(1),
1,0.699999988079071,0.11302375793457,-1,-2.18796728239552E-13,
2,0.699999988079071,0.113011121749878,-0.939999997615814,-3.73446933099597E-13,
3,0.699999988079071,0.11297619342804,-0.879999995231628,-7.66158105925188E-14,
4,0.699999988079071,0.11292040348053,-0.819999992847443,-5.36131848551807E-13,
5,0.699999988079071,0.112899422645569,-0.759999990463257,1.63418289317319E-11,
6,0.699999988079071,0.11283004283905,-0.699999988079071,-5.65993812148141E-13,
7,0.699999988079071,0.11277163028717,-0.639999985694885,1.63912767636287E-14,
8,0.699999988079071,0.112716913223267,-0.579999983310699,6.18576980544912E-14,
9,0.699999988079071,0.112692832946777,-0.519999980926514,-7.62224213867596E-14,
10,0.699999988079071,0.112679719924927,-0.46000000834465,-1.05106834423063E-13,
11,0.699999988079071,0.112691879272461,-0.400000005960464,-1.48057937166945E-14,
12,0.699999988079071,0.112651824951172,-0.340000003576279,2.38060947636756E-14,
13,0.699999988079071,0.112680673599243,-0.280000001192093,1.05917458506112E-13,
14,0.699999988079071,0.112677574157715,-0.219999998807907,2.16293332528338E-13,
15,0.699999988079071,0.112699747085571,-0.159999996423721,-2.00843817488652E-13,
16,0.699999988079071,0.112728118896484,-0.100000001490116,1.36399268615972E-12,
17,0.699999988079071,0.112788081169128,-0.0399999991059303,6.9417952289208E-13,
18,0.699999988079071,0.11284065246582,0.0199999995529652,6.5943003011229E-13,
19,0.699999988079071,0.112897396087646,0.0799999982118607,8.9387893788262E-13,
20,0.699999988079071,0.112980604171753,0.140000000596046,9.59014877059683E-13,
21,0.699999988079071,0.113093376159668,0.200000002980232,1.4383078061897E-12,
22,0.699999988079071,0.113188505172729,0.259999990463257,1.42960545745224E-12,
23,0.699999988079071,0.11334502696991,0.319999992847443,1.29381423109864E-12,
24,0.699999988079071,0.113476037979126,0.379999995231628,1.66120535296382E-12,
25,0.699999988079071,0.113683342933655,0.439999997615814,1.81883577209802E-12,
26,0.699999988079071,0.113917231559753,0.5,2.04029089630187E-12,
27,0.699999988079071,0.114182829856873,0.560000002384186,1.96030149578197E-12,
28,0.699999988079071,0.114548087120056,0.620000004768372,2.32218497903114E-12,
29,0.699999988079071,0.114933371543884,0.680000007152557,2.40645415920671E-12,
30,0.699999988079071,0.115377187728882,0.740000009536743,2.46669048034609E-12,
