IRF_5Mhz1.ptu	 	p62-60_5MHz_2_OTCSPC; OverallDecay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
0	1	0.249999992929518	4	0.249999992929518	---	0.249999992929518	---
0.249999992929518	12	0.499999985859036	5	0.499999985859036	---	0.499999985859036	---
0.499999985859036	7	0.749999978788553	1	0.749999978788553	---	0.749999978788553	---
0.749999978788553	13	0.999999971718071	2	0.999999971718071	---	0.999999971718071	---
0.999999971718071	16	1.24999996464759	1	1.24999996464759	---	1.24999996464759	---
1.24999996464759	14	1.49999995757711	0	1.49999995757711	---	1.49999995757711	---
1.49999995757711	13	1.74999995050662	3	1.74999995050662	---	1.74999995050662	---
1.74999995050662	15	1.99999994343614	2	1.99999994343614	---	1.99999994343614	---
1.99999994343614	10	2.24999993636566	4	2.24999993636566	---	2.24999993636566	---
2.24999993636566	15	2.49999992929518	7	2.49999992929518	---	2.49999992929518	---
2.49999992929518	9	2.7499999222247	2	2.7499999222247	---	2.7499999222247	---
2.7499999222247	16	2.99999991515421	8	2.99999991515421	---	2.99999991515421	---
2.99999991515421	6	3.24999990808373	1	3.24999990808373	---	3.24999990808373	---
3.24999990808373	11	3.49999990101325	0	3.49999990101325	---	3.49999990101325	---
3.49999990101325	10	3.74999989394277	2	3.74999989394277	---	3.74999989394277	---
3.74999989394277	14	3.99999988687229	0	3.99999988687229	---	3.99999988687229	---
3.99999988687229	11	4.2499998798018	6	4.2499998798018	---	4.2499998798018	---
4.2499998798018	12	4.49999987273132	7	4.49999987273132	---	4.49999987273132	---
4.49999987273132	10	4.74999986566084	1	4.74999986566084	---	4.74999986566084	---
4.74999986566084	12	4.99999985859036	3	4.99999985859036	---	4.99999985859036	---
4.99999985859036	7	5.24999985151988	3	5.24999985151988	---	5.24999985151988	---
5.24999985151988	9	5.49999984444939	0	5.49999984444939	---	5.49999984444939	---
5.49999984444939	10	5.74999983737891	3	5.74999983737891	---	5.74999983737891	---
5.74999983737891	9	5.99999983030843	5	5.99999983030843	---	5.99999983030843	---
5.99999983030843	10	6.24999982323795	4	6.24999982323795	---	6.24999982323795	---
6.24999982323795	15	6.49999981616746	2	6.49999981616746	---	6.49999981616746	---
6.49999981616746	5	6.74999980909698	4	6.74999980909698	---	6.74999980909698	---
6.74999980909698	14	6.9999998020265	1	6.9999998020265	---	6.9999998020265	---
6.9999998020265	7	7.24999979495602	2	7.24999979495602	---	7.24999979495602	---
7.24999979495602	15	7.49999978788553	4	7.49999978788553	---	7.49999978788553	---
7.49999978788553	9	7.74999978081505	3	7.74999978081505	---	7.74999978081505	---
7.74999978081505	11	7.99999977374457	3	7.99999977374457	---	7.99999977374457	---
